Year,County,All_Births(Number),First_Births(Number),Births_within_Marriage(Number),Births_outside_Marriage(Number),Average_Age_ of_Mother(Years),Average_Age_of_First_TimeMother(Years)
2015,Kilkenny,1224,437,770,454,32.8,30.9
2015,Laois,1177,398,735,442,31.7,29.5
2015,Longford,584,201,351,233,31,28.2
2015,Louth,1852,634,1033,819,31.7,29
2015,Meath,2811,1013,1868,943,32.8,30.8
2015,Offaly,1004,336,616,388,31.6,29.4
2015,Westmeath,1248,470,767,481,31.9,29.7
2015,Wexford,2008,715,1090,918,31.5,29.2
2015,Waterford County,888,271,534,354,32.9,30.3
2015,Waterford City,660,256,327,333,31.3,29.4
2015,Clare,1546,554,1043,503,32.6,30.5
2015,Cork City,1494,678,770,724,31.6,30
2015,Cork County,6041,2250,4175,1866,33.1,31.3
2015,Kerry,1680,588,1110,570,32.8,31.1
2015,Limerick City,819,337,366,453,30,28
2015,Limerick County,1918,673,1334,584,32.8,30.8
2015,North Tipperary,1024,367,664,360,32.6,30.6
2015,South Tipperary,1114,404,635,479,32,29.6
2015,Tipperary,,,,,,
2015,Galway City,1030,428,692,338,32.7,31.4
2015,Leitrim,415,140,291,124,33,31.2
2015,Mayo,1572,521,1048,524,32.7,30.7
2015,Roscommon,766,256,552,214,33.1,31.3
2015,Sligo,797,278,509,288,32.8,31
2015,Galway County,2464,894,1803,661,33.4,31.7
2015,Cavan,1045,341,685,360,32,29.9
2015,Donegal,1917,662,1202,715,31.8,29.5
2015,Monaghan,810,261,512,298,31.8,29.3
2015,Outside the ROI Total,,,,,,
2016,ROI Total,63841,23929,40455,23386,32.7,30.9
2016,Dublin City,7229,3372,4168,3061,32.5,31.1
2016,Fingal,4883,1846,3279,1604,33.1,31.3
2016,Dun Laoghaire Rathdown,2753,1139,2101,652,34.6,33.2
2016,South Dublin,4236,1596,2458,1778,32.2,30
2016,Wicklow,1917,742,1172,745,32.9,31
2016,Carlow,749,249,435,314,31.9,29.6
2016,Kildare,3262,1209,2147,1115,33,30.9
2016,Kilkenny,1185,429,802,383,33.1,31.1
2016,Laois,1118,369,669,449,32.2,30.1
2016,Longford,610,196,385,225,31.8,29.4
2016,Louth,1792,652,979,813,31.8,29.4
2016,Meath,2767,940,1856,911,33,30.7
2016,Offaly,1011,349,607,404,31.8,29.2
2016,Westmeath,1260,445,808,452,32.3,30.8
2016,Wexford,1889,682,1000,889,31.6,29.3
2016,Waterford County,939,336,584,355,32.6,30.7
2016,Waterford City,550,216,284,266,30.9,28.6
2016,Clare,1469,473,942,527,32.9,31.4
2016,Cork City,1384,609,715,669,32.1,30.3
2016,Cork County,5646,2005,3936,1710,33.5,31.9
2016,Kerry,1725,602,1100,625,33.1,31.2
2016,Limerick City,835,313,393,442,30.7,28.1
2016,Limerick County,1782,644,1212,570,33.1,31.5
2016,North Tipperary,909,298,591,318,32.8,30.5
2016,South Tipperary,1151,419,607,544,31.8,30
2016,Tipperary,,,,,,
2016,Galway City,1048,416,714,334,32.8,31.4
2016,Leitrim,419,141,292,127,33.2,30.8
2016,Mayo,1570,553,1046,524,32.9,31
2016,Roscommon,761,261,534,227,32.9,31.2
2016,Sligo,781,286,509,272,33,31.2
2016,Galway County,2446,864,1750,696,33.5,31.6
2016,Cavan,1048,350,671,377,31.9,29.6
2016,Donegal,1917,679,1190,727,32,29.7
2016,Monaghan,800,249,519,281,32.6,30.9
2016,Outside the ROI Total,,,,,,
2017,ROI Total,61824,23595,38588,23236,32.8,31.1
2017,Dublin City,7096,3401,4056,3040,32.6,31.4
2017,Fingal,4535,1758,3019,1516,33.1,31.4
2017,Dun Laoghaire Rathdown,2602,1132,1947,655,34.7,33.2
2017,South Dublin,3970,1520,2330,1640,32.4,30.5
2017,Wicklow,1851,704,1087,764,32.9,30.8
2017,Carlow,774,269,461,313,32,30.1
2017,Kildare,3180,1202,2077,1103,33.1,31.1
2017,Kilkenny,1164,411,752,412,33.1,31.3
2017,Laois,1198,403,706,492,32,29.8
2017,Longford,544,196,312,232,30.9,28.3
2017,Louth,1732,628,983,749,32,29.8
2017,Meath,2704,950,1729,975,33,31.1
2017,Offaly,1011,351,641,370,31.9,30
2017,Westmeath,1280,461,762,518,32.2,30.7
2017,Wexford,1907,640,995,912,31.9,29.8
2017,Waterford County,839,300,485,354,32.7,31.1
2017,Waterford City,564,217,256,308,31.4,29.2
2017,Clare,1420,522,918,502,33,31.5
2017,Cork City,1358,587,732,626,32,30.6
2017,Cork County,5478,1994,3753,1725,33.6,31.9
2017,Kerry,1641,626,1009,632,32.9,31.1
2017,Limerick City,780,311,332,448,30.5,28.1
2017,Limerick County,1788,654,1144,644,33,31.5
2017,North Tipperary,917,312,601,316,32.7,30.7
2017,South Tipperary,1097,395,572,525,31.7,29.7
2017,Tipperary,,,,,,
2017,Galway City,905,380,588,317,33.7,32.8
2017,Leitrim,399,135,291,108,33.2,31.6
2017,Mayo,1497,519,986,511,33.2,31.5
2017,Roscommon,763,271,532,231,33,31.3
2017,Sligo,742,282,468,274,32.7,30.3
2017,Galway County,2427,824,1767,660,33.9,32.1
2017,Cavan,1051,361,689,362,32.2,30
2017,Donegal,1827,619,1095,732,32.1,29.6
2017,Monaghan,777,257,508,269,32.4,29.8
2017,Outside the ROI Total,6,3,5,1,29.8,32.8
2018,ROI Total,61022,23436,37920,23102,32.9,31.1
2018,Dublin City,6927,3285,3885,3042,32.7,31.5
2018,Fingal,4536,1784,3012,1524,33.3,31.8
2018,Dun Laoghaire Rathdown,2610,1128,1984,626,34.7,33.4
2018,South Dublin,3932,1520,2294,1638,32.4,30.5
2018,Wicklow,1701,642,1033,668,33.2,31.3
2018,Carlow,829,301,443,386,31.9,29.7
2018,Kildare,3063,1150,2028,1035,33.2,31.2
2018,Kilkenny,1119,391,715,404,33.3,31.4
2018,Laois,1059,364,620,439,32.3,30.7
2018,Longford,557,189,344,213,31.6,29.6
2018,Louth,1695,591,931,764,32.1,30
2018,Meath,2644,927,1685,959,32.9,30.9
2018,Offaly,949,368,578,371,31.7,29.5
2018,Westmeath,1221,439,716,505,32.1,30.2
2018,Wexford,1806,630,970,836,31.8,29.1
2018,Waterford County,799,270,471,328,33.1,31.3
2018,Waterford City,638,221,313,325,31.4,28.8
2018,Clare,1374,519,868,506,33.1,31.3
2018,Cork City,1336,558,713,623,32.3,30.6
2018,Cork County,5536,2112,3683,1853,33.6,31.9
2018,Kerry,1625,620,963,662,33.2,31.1
2018,Limerick City,790,272,359,431,30.8,28.3
2018,Limerick County,1748,657,1208,540,33.3,31.5
2018,North Tipperary,,,,,,
2018,South Tipperary,,,,,,
2018,Tipperary,2088,715,1248,840,32.5,30.1
2018,Galway City,939,433,606,333,33.1,32.2
2018,Leitrim,418,140,293,125,33.3,31.4
2018,Mayo,1456,508,967,489,33.3,31.4
2018,Roscommon,715,261,474,241,32.8,30.9
2018,Sligo,795,288,483,312,33.1,31.3
2018,Galway County,2330,869,1683,647,33.9,32.3
2018,Cavan,1023,320,654,369,32.6,30.5
2018,Donegal,1892,671,1140,752,32.3,30.1
2018,Monaghan,828,271,525,303,32.5,29.7
2018,Outside the ROI Total,44,22,31,13,33.3,30.9
2019,ROI Total,59796,23139,37024,22772,33,31.3
2019,Dublin City,6861,,3942,2919,32.9,31.6
2019,Fingal,4306,,2823,1483,33.3,31.4
2019,Dun Laoghaire Rathdown,2566,,1973,593,34.9,33.5
2019,South Dublin,3949,,2307,1642,32.5,30.7
2019,Wicklow,1769,,1016,753,33.3,31.5
2019,Carlow,755,,395,360,31.8,29.9
2019,Kildare,3067,,2007,1060,33.3,31.5
2019,Kilkenny,1094,,699,395,33.3,31.3
2019,Laois,1106,,623,483,32.3,30.2
2019,Longford,586,,351,235,31.7,30.2
2019,Louth,1700,,945,755,32.2,30
2019,Meath,2771,,1763,1008,33.1,31
2019,Offaly,924,,556,368,32.1,29.8
2019,Westmeath,1164,,722,442,32.5,30.4
2019,Wexford,1835,,1017,818,31.9,29.7
2019,Waterford County,721,,415,306,33,30.8
2019,Waterford City,632,,305,327,31.8,29.6
2019,Clare,1319,,808,511,33.2,31.3
2019,Cork City,1321,,685,636,32.3,30.8
2019,Cork County,5249,,3544,1705,33.8,32
2019,Kerry,1572,,974,598,33.5,31.8
2019,Limerick City,765,,339,426,31.2,29.8
2019,Limerick County,1601,,1081,520,33.3,31.6
2019,North Tipperary,,,,,,
2019,South Tipperary,,,,,,
2019,Tipperary,1864,,1060,804,32.7,30.5
2019,Galway City,850,,556,294,33.3,32.3
2019,Leitrim,438,,293,145,33.6,31.8
2019,Mayo,1481,,948,533,33.4,31.4
2019,Roscommon,804,,531,273,32.9,31.1
2019,Sligo,768,,473,295,33.1,31.8
2019,Galway County,2348,,1646,702,33.9,32.6
2019,Cavan,962,,627,335,32.9,31
2019,Donegal,1817,,1077,740,32.1,29.9
2019,Monaghan,785,,493,292,32.8,30.2
2019,Outside the ROI Total,46,,30,16,32.9,31.8
2020,ROI Total,55959,21989,34481,21478,33.1,31.4
2020,Dublin City,6229,.,3473,2756,33,31.8
2020,Fingal,4023,.,2543,1480,33.3,31.6
2020,Dun Laoghaire Rathdown,2367,.,1758,609,34.9,33.4
2020,South Dublin,3506,.,2009,1497,32.7,30.8
2020,Wicklow,1594,.,981,613,33.3,31.5
2020,Carlow,720,.,403,317,32.3,30.1
2020,Kildare,2915,.,1902,1013,33.4,31.5
2020,Kilkenny,1015,.,639,376,33.5,31.8
2020,Laois,952,.,554,398,32.5,30.4
2020,Longford,519,.,310,209,32.1,30.5
2020,Louth,1589,.,867,722,32,29.9
2020,Meath,2498,.,1614,884,33.3,31.3
2020,Offaly,884,.,515,369,32.2,30
2020,Westmeath,1156,.,705,451,32.6,30.3
2020,Wexford,1731,.,926,805,32.1,29.4
2020,Waterford County,710,.,426,284,33.4,31.2
2020,Waterford City,604,.,303,301,31.9,29.5
2020,Clare,1309,.,840,469,33.4,31.5
2020,Cork City,1228,.,644,584,32.7,31.6
2020,Cork County,5100,.,3404,1696,33.9,32.2
2020,Kerry,1485,.,874,611,33.5,31.5
2020,Limerick City,720,.,355,365,31.4,29.6
2020,Limerick County,1643,.,1091,552,33.3,31.7
2020,North Tipperary,,,,,,
2020,South Tipperary,,,,,,
2020,Tipperary,1792,.,1022,770,32.5,30.5
2020,Galway City,770,.,488,282,33.6,32.5
2020,Leitrim,380,.,247,133,33.4,31.7
2020,Mayo,1398,.,969,429,33.6,31.8
2020,Roscommon,759,.,489,270,33,31.4
2020,Sligo,749,.,470,279,33.7,32.2
2020,Galway County,2116,.,1514,602,33.9,32.5
2020,Cavan,1012,.,641,371,32.8,30.6
2020,Donegal,1691,.,994,697,32.6,30.5
2020,Monaghan,759,.,491,268,32.7,30.4
2020,Outside the ROI Total,36,.,20,16,31.3,31.7
